org_id;latest_si_yr;program_id;report_yr;measure_yr;planned_actual;spending_fte;measure;si_link_yr
125;2024-2025;BTF01;2020-2021;2020-2021;actual;spending;217921344.75;2020-2021
125;2024-2025;BTF02;2020-2021;2020-2021;actual;spending;154734207.36;2020-2021
125;2024-2025;BTF03;2020-2021;2020-2021;actual;spending;16886348.34;2020-2021
125;2024-2025;BTF04;2020-2021;2020-2021;actual;spending;42002267.27;2020-2021
125;2024-2025;BTF05;2020-2021;2020-2021;actual;spending;13118857.98;2020-2021
125;2024-2025;BTF06;2020-2021;2020-2021;actual;spending;164836999.38;2020-2021
125;2024-2025;BTF07;2020-2021;2020-2021;actual;spending;140888027.72;2020-2021
125;2024-2025;BTF08;2020-2021;2020-2021;actual;spending;6494648.89;2020-2021
125;2024-2025;BTF09;2020-2021;2020-2021;actual;spending;4306847.51;2020-2021
125;2024-2025;BTF10;2020-2021;2020-2021;actual;spending;16574927.7;2020-2021
125;2024-2025;BTF11;2020-2021;2020-2021;actual;spending;142226680.46;2020-2021
125;2024-2025;BTF12;2020-2021;2020-2021;actual;spending;8762402.54;2020-2021
125;2024-2025;BTF13;2020-2021;2020-2021;actual;spending;59638631.46;2020-2021
125;2024-2025;BTG01;2020-2021;2020-2021;actual;spending;136310479.73;2020-2021
125;2024-2025;BTG02;2020-2021;2020-2021;actual;spending;15858786.39;2020-2021
125;2024-2025;BTG03;2020-2021;2020-2021;actual;spending;42897001.97;2020-2021
125;2024-2025;BTG04;2020-2021;2020-2021;actual;spending;30515331.54;2020-2021
125;2024-2025;BTG05;2020-2021;2020-2021;actual;spending;103615521.37;2020-2021
125;2024-2025;BTG06;2020-2021;2020-2021;actual;spending;23694433.83;2020-2021
125;2024-2025;BTG07;2020-2021;2020-2021;actual;spending;1913941.9;2020-2021
125;2024-2025;BTH01;2020-2021;2020-2021;actual;spending;7923211.36;2020-2021
125;2024-2025;BTH02;2020-2021;2020-2021;actual;spending;1712058.37;2020-2021
125;2024-2025;BTH03;2020-2021;2020-2021;actual;spending;8528837.0;2020-2021
125;2024-2025;BTH04;2020-2021;2020-2021;actual;spending;41723771.62;2020-2021
125;2024-2025;BTH05;2020-2021;2020-2021;actual;spending;183845714.99;2020-2021
125;2024-2025;BTH06;2020-2021;2020-2021;actual;spending;42169283.02;2020-2021
125;2024-2025;BTI01;2020-2021;2020-2021;actual;spending;59257490.89;2020-2021
125;2024-2025;BTI02;2020-2021;2020-2021;actual;spending;61052925.99;2020-2021
125;2024-2025;BTI03;2020-2021;2020-2021;actual;spending;7743486.7;2020-2021
125;2024-2025;BTI04;2020-2021;2020-2021;actual;spending;437434353.42;2020-2021
