fiscal_yr;org_id;service_id;fy_org_id_service_id;online_interaction_point;activation;online_interaction_point_sort
2018-2019;133;1058;2018-2019_133_1058;account_registration;NA;1
2019-2020;133;1058;2019-2020_133_1058;account_registration;NA;1
2020-2021;133;1058;2020-2021_133_1058;account_registration;NA;1
2022-2023;127;1059;2022-2023_127_1059;account_registration;N;1
2018-2019;127;1059;2018-2019_127_1059;account_registration;N;1
2019-2020;127;1059;2019-2020_127_1059;account_registration;N;1
2020-2021;127;1059;2020-2021_127_1059;account_registration;N;1
2021-2022;127;1059;2021-2022_127_1059;account_registration;N;1
2022-2023;127;1060;2022-2023_127_1060;account_registration;N;1
2018-2019;127;1060;2018-2019_127_1060;account_registration;N;1
2019-2020;127;1060;2019-2020_127_1060;account_registration;N;1
2020-2021;127;1060;2020-2021_127_1060;account_registration;N;1
2021-2022;127;1060;2021-2022_127_1060;account_registration;N;1
2022-2023;127;1062;2022-2023_127_1062;account_registration;NA;1
2018-2019;127;1062;2018-2019_127_1062;account_registration;N;1
2019-2020;127;1062;2019-2020_127_1062;account_registration;N;1
2020-2021;127;1062;2020-2021_127_1062;account_registration;NA;1
2021-2022;127;1062;2021-2022_127_1062;account_registration;NA;1
2022-2023;133;1064;2022-2023_133_1064;account_registration;NA;1
2018-2019;133;1064;2018-2019_133_1064;account_registration;N;1
2019-2020;133;1064;2019-2020_133_1064;account_registration;Y;1
2020-2021;133;1064;2020-2021_133_1064;account_registration;NA;1
2021-2022;133;1064;2021-2022_133_1064;account_registration;N;1
2022-2023;133;1065;2022-2023_133_1065;account_registration;Y;1
2018-2019;133;1065;2018-2019_133_1065;account_registration;N;1
2019-2020;133;1065;2019-2020_133_1065;account_registration;Y;1
2020-2021;133;1065;2020-2021_133_1065;account_registration;NA;1
2021-2022;133;1065;2021-2022_133_1065;account_registration;Y;1
2022-2023;133;1066;2022-2023_133_1066;account_registration;NA;1
2018-2019;133;1066;2018-2019_133_1066;account_registration;N;1
2019-2020;133;1066;2019-2020_133_1066;account_registration;N;1
2020-2021;133;1066;2020-2021_133_1066;account_registration;NA;1
2021-2022;133;1066;2021-2022_133_1066;account_registration;NA;1
2022-2023;127;1088;2022-2023_127_1088;account_registration;N;1
2018-2019;127;1088;2018-2019_127_1088;account_registration;N;1
2019-2020;127;1088;2019-2020_127_1088;account_registration;N;1
2020-2021;127;1088;2020-2021_127_1088;account_registration;N;1
2021-2022;127;1088;2021-2022_127_1088;account_registration;N;1
2022-2023;127;1089;2022-2023_127_1089;account_registration;NA;1
2018-2019;127;1089;2018-2019_127_1089;account_registration;N;1
2019-2020;127;1089;2019-2020_127_1089;account_registration;N;1
2020-2021;127;1089;2020-2021_127_1089;account_registration;NA;1
2021-2022;127;1089;2021-2022_127_1089;account_registration;NA;1
2022-2023;128;1090;2022-2023_128_1090;account_registration;NA;1
2018-2019;128;1090;2018-2019_128_1090;account_registration;NA;1
2019-2020;128;1090;2019-2020_128_1090;account_registration;NA;1
2020-2021;128;1090;2020-2021_128_1090;account_registration;NA;1
2021-2022;128;1090;2021-2022_128_1090;account_registration;NA;1
2018-2019;69;1091;2018-2019_69_1091;account_registration;N;1
2022-2023;137;1092;2022-2023_137_1092;account_registration;NA;1
2018-2019;137;1092;2018-2019_137_1092;account_registration;NA;1
2019-2020;137;1092;2019-2020_137_1092;account_registration;NA;1
2020-2021;137;1092;2020-2021_137_1092;account_registration;NA;1
2021-2022;137;1092;2021-2022_137_1092;account_registration;NA;1
2022-2023;128;1093;2022-2023_128_1093;account_registration;NA;1
2018-2019;128;1093;2018-2019_128_1093;account_registration;NA;1
2019-2020;128;1093;2019-2020_128_1093;account_registration;NA;1
2020-2021;128;1093;2020-2021_128_1093;account_registration;NA;1
2021-2022;128;1093;2021-2022_128_1093;account_registration;NA;1
2022-2023;326;1094;2022-2023_326_1094;account_registration;Y;1
2018-2019;326;1094;2018-2019_326_1094;account_registration;Y;1
2019-2020;326;1094;2019-2020_326_1094;account_registration;Y;1
2020-2021;326;1094;2020-2021_326_1094;account_registration;Y;1
2021-2022;326;1094;2021-2022_326_1094;account_registration;Y;1
2022-2023;136;1095;2022-2023_136_1095;account_registration;NA;1
2018-2019;136;1095;2018-2019_136_1095;account_registration;NA;1
