fiscal_yr;service_id;channel;volume
2018-2019;1311;telephone;0.0
2018-2019;1312;telephone;0.0
2019-2020;1312;telephone;0.0
2018-2019;1313;telephone;0.0
2019-2020;1313;telephone;0.0
2020-2021;1313;telephone;0.0
2018-2019;1314;telephone;0.0
2019-2020;1314;telephone;0.0
2018-2019;1315;telephone;0.0
2019-2020;1315;telephone;0.0
2020-2021;1315;telephone;0.0
2018-2019;1316;telephone;0.0
2019-2020;1316;telephone;0.0
2022-2023;1317;telephone;0.0
2018-2019;1317;telephone;0.0
2019-2020;1317;telephone;0.0
2020-2021;1317;telephone;0.0
2021-2022;1317;telephone;0.0
2022-2023;1318;telephone;0.0
2018-2019;1318;telephone;0.0
2019-2020;1318;telephone;0.0
2020-2021;1318;telephone;0.0
2021-2022;1318;telephone;0.0
2022-2023;1319;telephone;0.0
2018-2019;1319;telephone;0.0
2019-2020;1319;telephone;0.0
2020-2021;1319;telephone;0.0
2021-2022;1319;telephone;0.0
2018-2019;131;telephone;0.0
2019-2020;131;telephone;0.0
2020-2021;131;telephone;0.0
2022-2023;1320;telephone;12.0
2018-2019;1320;telephone;0.0
2019-2020;1320;telephone;0.0
2020-2021;1320;telephone;0.0
2021-2022;1320;telephone;0.0
2022-2023;1321;telephone;0.0
2018-2019;1321;telephone;0.0
2019-2020;1321;telephone;0.0
2020-2021;1321;telephone;0.0
2021-2022;1321;telephone;0.0
2018-2019;1322;telephone;0.0
2019-2020;1322;telephone;0.0
2020-2021;1322;telephone;0.0
